Year,Units,title,sex,Bundesland,GeoCode,Value
2013,percentage (%),german school graduates (share of all german leavers),,mv,,89.2
2014,percentage (%),german school graduates (share of all german leavers),,mv,,91.4
2015,percentage (%),german school graduates (share of all german leavers),,mv,,91.7
2016,percentage (%),german school graduates (share of all german leavers),,mv,,90.8
2017,percentage (%),german school graduates (share of all german leavers),,mv,,91.5
2018,percentage (%),german school graduates (share of all german leavers),,mv,,91.9
2019,percentage (%),german school graduates (share of all german leavers),,mv,,91.4
1996,percentage (%),german school graduates (share of all german leavers),,ni,,91.2
1997,percentage (%),german school graduates (share of all german leavers),,ni,,91.1
1998,percentage (%),german school graduates (share of all german leavers),,ni,,91.4
1999,percentage (%),german school graduates (share of all german leavers),,ni,,91.8
2000,percentage (%),german school graduates (share of all german leavers),,ni,,91.1
2001,percentage (%),german school graduates (share of all german leavers),,ni,,91.1
2002,percentage (%),german school graduates (share of all german leavers),,ni,,91.4
2003,percentage (%),german school graduates (share of all german leavers),,ni,,90.7
2004,percentage (%),german school graduates (share of all german leavers),,ni,,93.4
2005,percentage (%),german school graduates (share of all german leavers),,ni,,92.1
2006,percentage (%),german school graduates (share of all german leavers),,ni,,92.6
2007,percentage (%),german school graduates (share of all german leavers),,ni,,93.3
2008,percentage (%),german school graduates (share of all german leavers),,ni,,93.4
2009,percentage (%),german school graduates (share of all german leavers),,ni,,94.3
2010,percentage (%),german school graduates (share of all german leavers),,ni,,94.7
2011,percentage (%),german school graduates (share of all german leavers),,ni,,95.6
2012,percentage (%),german school graduates (share of all german leavers),,ni,,95.0
2013,percentage (%),german school graduates (share of all german leavers),,ni,,95.4
2014,percentage (%),german school graduates (share of all german leavers),,ni,,95.6
2015,percentage (%),german school graduates (share of all german leavers),,ni,,95.6
2016,percentage (%),german school graduates (share of all german leavers),,ni,,95.7
2017,percentage (%),german school graduates (share of all german leavers),,ni,,95.4
2018,percentage (%),german school graduates (share of all german leavers),,ni,,95.1
2019,percentage (%),german school graduates (share of all german leavers),,ni,,94.7
1996,percentage (%),german school graduates (share of all german leavers),,nw,,95.3
1997,percentage (%),german school graduates (share of all german leavers),,nw,,95.0
1998,percentage (%),german school graduates (share of all german leavers),,nw,,95.1
1999,percentage (%),german school graduates (share of all german leavers),,nw,,95.1
2000,percentage (%),german school graduates (share of all german leavers),,nw,,94.9
2001,percentage (%),german school graduates (share of all german leavers),,nw,,94.1
2002,percentage (%),german school graduates (share of all german leavers),,nw,,94.0
2003,percentage (%),german school graduates (share of all german leavers),,nw,,94.1
2004,percentage (%),german school graduates (share of all german leavers),,nw,,94.0
2005,percentage (%),german school graduates (share of all german leavers),,nw,,94.1
2006,percentage (%),german school graduates (share of all german leavers),,nw,,94.4
2007,percentage (%),german school graduates (share of all german leavers),,nw,,94.5
2008,percentage (%),german school graduates (share of all german leavers),,nw,,94.6
2009,percentage (%),german school graduates (share of all german leavers),,nw,,94.8
2010,percentage (%),german school graduates (share of all german leavers),,nw,,95.3
2011,percentage (%),german school graduates (share of all german leavers),,nw,,95.4
2012,percentage (%),german school graduates (share of all german leavers),,nw,,95.7
2013,percentage (%),german school graduates (share of all german leavers),,nw,,96.3
2014,percentage (%),german school graduates (share of all german leavers),,nw,,95.2
2015,percentage (%),german school graduates (share of all german leavers),,nw,,95.4
2016,percentage (%),german school graduates (share of all german leavers),,nw,,95.4
2017,percentage (%),german school graduates (share of all german leavers),,nw,,95.4
2018,percentage (%),german school graduates (share of all german leavers),,nw,,95.0
2019,percentage (%),german school graduates (share of all german leavers),,nw,,95.0
1996,percentage (%),german school graduates (share of all german leavers),,rp,,91.4
1997,percentage (%),german school graduates (share of all german leavers),,rp,,91.5
1998,percentage (%),german school graduates (share of all german leavers),,rp,,91.4
1999,percentage (%),german school graduates (share of all german leavers),,rp,,91.9
2000,percentage (%),german school graduates (share of all german leavers),,rp,,91.4
2001,percentage (%),german school graduates (share of all german leavers),,rp,,91.6
2002,percentage (%),german school graduates (share of all german leavers),,rp,,91.8
2003,percentage (%),german school graduates (share of all german leavers),,rp,,92.2
2004,percentage (%),german school graduates (share of all german leavers),,rp,,93.0
2005,percentage (%),german school graduates (share of all german leavers),,rp,,93.1
2006,percentage (%),german school graduates (share of all german leavers),,rp,,93.2
2007,percentage (%),german school graduates (share of all german leavers),,rp,,93.2
2008,percentage (%),german school graduates (share of all german leavers),,rp,,93.7
2009,percentage (%),german school graduates (share of all german leavers),,rp,,93.9
2010,percentage (%),german school graduates (share of all german leavers),,rp,,94.8
2011,percentage (%),german school graduates (share of all german leavers),,rp,,94.9
2012,percentage (%),german school graduates (share of all german leavers),,rp,,95.1
2013,percentage (%),german school graduates (share of all german leavers),,rp,,95.2
2014,percentage (%),german school graduates (share of all german leavers),,rp,,95.1
2015,percentage (%),german school graduates (share of all german leavers),,rp,,94.4
2016,percentage (%),german school graduates (share of all german leavers),,rp,,94.8
2017,percentage (%),german school graduates (share of all german leavers),,rp,,94.4
2018,percentage (%),german school graduates (share of all german leavers),,rp,,94.3
2019,percentage (%),german school graduates (share of all german leavers),,rp,,93.7
1996,percentage (%),german school graduates (share of all german leavers),,sl,,90.7
1997,percentage (%),german school graduates (share of all german leavers),,sl,,90.5
1998,percentage (%),german school graduates (share of all german leavers),,sl,,90.5
1999,percentage (%),german school graduates (share of all german leavers),,sl,,89.9
2000,percentage (%),german school graduates (share of all german leavers),,sl,,90.8
2001,percentage (%),german school graduates (share of all german leavers),,sl,,89.8
2002,percentage (%),german school graduates (share of all german leavers),,sl,,91.8
2003,percentage (%),german school graduates (share of all german leavers),,sl,,91.8
2004,percentage (%),german school graduates (share of all german leavers),,sl,,92.2
2005,percentage (%),german school graduates (share of all german leavers),,sl,,92.4
2006,percentage (%),german school graduates (share of all german leavers),,sl,,92.9
2007,percentage (%),german school graduates (share of all german leavers),,sl,,93.5
2008,percentage (%),german school graduates (share of all german leavers),,sl,,94.0
2009,percentage (%),german school graduates (share of all german leavers),,sl,,95.3
2010,percentage (%),german school graduates (share of all german leavers),,sl,,95.0
2011,percentage (%),german school graduates (share of all german leavers),,sl,,95.5
2012,percentage (%),german school graduates (share of all german leavers),,sl,,95.1
2013,percentage (%),german school graduates (share of all german leavers),,sl,,95.4
2014,percentage (%),german school graduates (share of all german leavers),,sl,,95.5
2015,percentage (%),german school graduates (share of all german leavers),,sl,,96.1
2016,percentage (%),german school graduates (share of all german leavers),,sl,,95.1
2017,percentage (%),german school graduates (share of all german leavers),,sl,,95.4
2018,percentage (%),german school graduates (share of all german leavers),,sl,,95.2
2019,percentage (%),german school graduates (share of all german leavers),,sl,,94.7
1996,percentage (%),german school graduates (share of all german leavers),,sn,,90.3
1997,percentage (%),german school graduates (share of all german leavers),,sn,,90.6
1998,percentage (%),german school graduates (share of all german leavers),,sn,,89.7
1999,percentage (%),german school graduates (share of all german leavers),,sn,,88.2
2000,percentage (%),german school graduates (share of all german leavers),,sn,,88.0
2001,percentage (%),german school graduates (share of all german leavers),,sn,,89.0
2002,percentage (%),german school graduates (share of all german leavers),,sn,,90.1
2003,percentage (%),german school graduates (share of all german leavers),,sn,,90.2
2004,percentage (%),german school graduates (share of all german leavers),,sn,,90.7
2005,percentage (%),german school graduates (share of all german leavers),,sn,,91.0
2006,percentage (%),german school graduates (share of all german leavers),,sn,,91.5
2007,percentage (%),german school graduates (share of all german leavers),,sn,,91.8
2008,percentage (%),german school graduates (share of all german leavers),,sn,,91.7
2009,percentage (%),german school graduates (share of all german leavers),,sn,,91.5
2010,percentage (%),german school graduates (share of all german leavers),,sn,,90.6
2011,percentage (%),german school graduates (share of all german leavers),,sn,,90.3
2012,percentage (%),german school graduates (share of all german leavers),,sn,,90.4
2013,percentage (%),german school graduates (share of all german leavers),,sn,,90.3
2014,percentage (%),german school graduates (share of all german leavers),,sn,,91.9
2015,percentage (%),german school graduates (share of all german leavers),,sn,,92.1
2016,percentage (%),german school graduates (share of all german leavers),,sn,,92.1
2017,percentage (%),german school graduates (share of all german leavers),,sn,,92.5
2018,percentage (%),german school graduates (share of all german leavers),,sn,,92.4
2019,percentage (%),german school graduates (share of all german leavers),,sn,,92.5
1996,percentage (%),german school graduates (share of all german leavers),,st,,89.4
1997,percentage (%),german school graduates (share of all german leavers),,st,,90.0
1998,percentage (%),german school graduates (share of all german leavers),,st,,89.1
1999,percentage (%),german school graduates (share of all german leavers),,st,,88.5
2000,percentage (%),german school graduates (share of all german leavers),,st,,87.7
2001,percentage (%),german school graduates (share of all german leavers),,st,,82.1
2002,percentage (%),german school graduates (share of all german leavers),,st,,85.9
2003,percentage (%),german school graduates (share of all german leavers),,st,,86.0
2004,percentage (%),german school graduates (share of all german leavers),,st,,86.3
2005,percentage (%),german school graduates (share of all german leavers),,st,,88.3
2006,percentage (%),german school graduates (share of all german leavers),,st,,89.3
2007,percentage (%),german school graduates (share of all german leavers),,st,,92.3
2008,percentage (%),german school graduates (share of all german leavers),,st,,89.6
2009,percentage (%),german school graduates (share of all german leavers),,st,,89.7
2010,percentage (%),german school graduates (share of all german leavers),,st,,88.4
2011,percentage (%),german school graduates (share of all german leavers),,st,,88.2
2012,percentage (%),german school graduates (share of all german leavers),,st,,88.9
2013,percentage (%),german school graduates (share of all german leavers),,st,,89.9
2014,percentage (%),german school graduates (share of all german leavers),,st,,90.5
2015,percentage (%),german school graduates (share of all german leavers),,st,,89.9
2016,percentage (%),german school graduates (share of all german leavers),,st,,91.0
2017,percentage (%),german school graduates (share of all german leavers),,st,,90.8
2018,percentage (%),german school graduates (share of all german leavers),,st,,89.9
2019,percentage (%),german school graduates (share of all german leavers),,st,,90.0
1996,percentage (%),german school graduates (share of all german leavers),,sh,,91.0
1997,percentage (%),german school graduates (share of all german leavers),,sh,,90.5
1998,percentage (%),german school graduates (share of all german leavers),,sh,,89.9
1999,percentage (%),german school graduates (share of all german leavers),,sh,,90.3
2000,percentage (%),german school graduates (share of all german leavers),,sh,,90.3
2001,percentage (%),german school graduates (share of all german leavers),,sh,,89.7
2002,percentage (%),german school graduates (share of all german leavers),,sh,,89.7
2003,percentage (%),german school graduates (share of all german leavers),,sh,,90.6
2004,percentage (%),german school graduates (share of all german leavers),,sh,,90.6
2005,percentage (%),german school graduates (share of all german leavers),,sh,,90.7
2006,percentage (%),german school graduates (share of all german leavers),,sh,,90.8
2007,percentage (%),german school graduates (share of all german leavers),,sh,,91.8
2008,percentage (%),german school graduates (share of all german leavers),,sh,,91.9
2009,percentage (%),german school graduates (share of all german leavers),,sh,,93.5
2010,percentage (%),german school graduates (share of all german leavers),,sh,,93.5
2011,percentage (%),german school graduates (share of all german leavers),,sh,,93.1
2012,percentage (%),german school graduates (share of all german leavers),,sh,,93.0
2013,percentage (%),german school graduates (share of all german leavers),,sh,,92.8
2014,percentage (%),german school graduates (share of all german leavers),,sh,,92.6
2015,percentage (%),german school graduates (share of all german leavers),,sh,,92.8
2016,percentage (%),german school graduates (share of all german leavers),,sh,,93.9
2017,percentage (%),german school graduates (share of all german leavers),,sh,,93.1
2018,percentage (%),german school graduates (share of all german leavers),,sh,,92.5
2019,percentage (%),german school graduates (share of all german leavers),,sh,,91.9
1996,percentage (%),german school graduates (share of all german leavers),,th,,87.7
1997,percentage (%),german school graduates (share of all german leavers),,th,,87.8
1998,percentage (%),german school graduates (share of all german leavers),,th,,87.0
1999,percentage (%),german school graduates (share of all german leavers),,th,,87.0
2000,percentage (%),german school graduates (share of all german leavers),,th,,87.5
2001,percentage (%),german school graduates (share of all german leavers),,th,,87.7
2002,percentage (%),german school graduates (share of all german leavers),,th,,88.3
2003,percentage (%),german school graduates (share of all german leavers),,th,,90.7
2004,percentage (%),german school graduates (share of all german leavers),,th,,91.3
2005,percentage (%),german school graduates (share of all german leavers),,th,,92.1
2006,percentage (%),german school graduates (share of all german leavers),,th,,92.0
2007,percentage (%),german school graduates (share of all german leavers),,th,,93.1
2008,percentage (%),german school graduates (share of all german leavers),,th,,93.2
2009,percentage (%),german school graduates (share of all german leavers),,th,,92.9
2010,percentage (%),german school graduates (share of all german leavers),,th,,91.6
2011,percentage (%),german school graduates (share of all german leavers),,th,,91.4
2012,percentage (%),german school graduates (share of all german leavers),,th,,92.5
2013,percentage (%),german school graduates (share of all german leavers),,th,,92.2
2014,percentage (%),german school graduates (share of all german leavers),,th,,93.1
2015,percentage (%),german school graduates (share of all german leavers),,th,,93.0
2016,percentage (%),german school graduates (share of all german leavers),,th,,92.9
2017,percentage (%),german school graduates (share of all german leavers),,th,,93.0
2018,percentage (%),german school graduates (share of all german leavers),,th,,92.2
2019,percentage (%),german school graduates (share of all german leavers),,th,,92.4
